sensor,sequence,def_path,TP,FP,FN,precision,recall,F1,RMSE_def,RMSE_ok,RMSE_def_norm,RMSE_ok_norm,final_score
HD,sequence_1,train\HD\sequence_1\low dyn with columns 3,0.007099,0.011539,0.013974,0.380886,0.336876,0.357532,14.311762,1.502354,0.642206,0.962441,0.651094
HD,sequence_1,train\HD\sequence_1\low dyn with columns 2,0.002938,0.010635,0.003094,0.216424,0.487047,0.299681,6.566155,1.563408,0.835846,0.960915,0.694823
HD,sequence_1,train\HD\sequence_1\low dyn with columns 1,0.006247,0.010065,0.001659,0.382982,0.790184,0.515914,6.899860,1.512334,0.827503,0.962192,0.766010
HD,sequence_2,train\HD\sequence_2\low dyn with columns 3,0.004771,0.000727,0.008417,0.867835,0.361769,0.510662,10.941417,0.151719,0.726465,0.996207,0.742107
HD,sequence_2,train\HD\sequence_2\low dyn with columns 2,0.003576,0.000003,0.007643,0.999272,0.318709,0.483281,13.300391,0.011451,0.667490,0.999714,0.714493
HD,sequence_2,train\HD\sequence_2\low dyn with columns 1,0.008820,0.001698,0.002763,0.838574,0.761466,0.798162,6.771756,0.239517,0.830706,0.994012,0.873532
HD,sequence_3,train\HD\sequence_3\low dyn with columns 1,0.006453,0.002453,0.002255,0.724561,0.741029,0.732703,7.748485,0.290276,0.806288,0.992743,0.842799
HD,sequence_3,train\HD\sequence_3\low dyn with columns 2,0.005339,0.002021,0.004922,0.725407,0.520305,0.605971,13.972884,0.269129,0.650678,0.993272,0.748534
HD,sequence_3,train\HD\sequence_3\low dyn with columns 3,0.010628,0.001826,0.008466,0.853409,0.556601,0.673766,10.294356,0.248345,0.742641,0.993791,0.802103
SXGA,sequence_1,train\SXGA\sequence_1\low dyn with columns 2,0.003328,0.000264,0.004772,0.926490,0.410880,0.569290,9.663076,0.124540,0.758423,0.996887,0.772811
SXGA,sequence_1,train\SXGA\sequence_1\low dyn with columns 1,0.015984,0.000366,0.004216,0.977638,0.791306,0.874658,6.505397,0.115384,0.837365,0.997115,0.902762
SXGA,sequence_1,train\SXGA\sequence_1\low dyn with columns 3,0.010566,0.000423,0.001034,0.961467,0.910830,0.935464,7.975058,0.159565,0.800624,0.996011,0.910947
SXGA,sequence_3,train\SXGA\sequence_3\low dyn with columns 1,0.007262,0.002030,0.003269,0.781571,0.689614,0.732719,7.889780,0.319760,0.802755,0.992006,0.841396
SXGA,sequence_2,train\SXGA\sequence_2\low dyn with columns 2,0.000941,0.002809,0.015800,0.250886,0.056190,0.091817,17.415801,1.130133,0.564605,0.971747,0.538214
SXGA,sequence_2,train\SXGA\sequence_2\low dyn with columns 3,0.003199,0.002729,0.004815,0.539668,0.399204,0.458929,17.009576,1.093196,0.574761,0.972670,0.666688
SXGA,sequence_2,train\SXGA\sequence_2\low dyn with columns 1,0.004580,0.002575,0.005624,0.640111,0.448828,0.527669,19.628846,1.119368,0.509279,0.972016,0.668235
VGA,sequence_1,train\VGA\sequence_1\low dyn with columns 2,0.003701,0.000000,0.006639,1.000000,0.357892,0.527129,14.373045,0.000000,0.640674,1.000000,0.720646
VGA,sequence_1,train\VGA\sequence_1\low dyn with columns 1,0.002005,0.000000,0.001059,1.000000,0.654265,0.791004,7.767414,0.000000,0.805815,1.000000,0.864860
VGA,sequence_1,train\VGA\sequence_1\low dyn with columns 3,0.006142,0.000000,0.002107,1.000000,0.744523,0.853555,13.624775,0.000000,0.659381,1.000000,0.837804
SXGA,sequence_3,train\SXGA\sequence_3\low dyn with columns 2,0.005211,0.000652,0.006008,0.888859,0.464485,0.610135,9.475747,0.180860,0.763106,0.995479,0.787779
VGA,sequence_3,train\VGA\sequence_3\low dyn with columns 1,0.002328,0.000000,0.001250,1.000000,0.650655,0.788360,10.843355,0.000000,0.728916,1.000000,0.838585
VGA,sequence_3,train\VGA\sequence_3\low dyn with columns 2,0.000059,0.000000,0.004397,1.000000,0.013324,0.026298,16.040870,0.000000,0.598978,1.000000,0.536604
VGA,sequence_3,train\VGA\sequence_3\low dyn with columns 3,0.002991,0.000000,0.005647,1.000000,0.346237,0.514378,19.296554,0.000000,0.517586,1.000000,0.675692
VGA,sequence_2,train\VGA\sequence_2\low dyn with columns 2,0.003278,0.000094,0.001822,0.972014,0.642763,0.773821,8.925533,0.055932,0.776862,0.998602,0.849002
VGA,sequence_2,train\VGA\sequence_2\low dyn with columns 1,0.005348,0.000214,0.001123,0.961515,0.826517,0.888920,9.315304,0.142718,0.767117,0.996432,0.884204
VGA,sequence_2,train\VGA\sequence_2\low dyn with columns 3,0.006066,0.000076,0.001745,0.987651,0.776651,0.869534,7.826419,0.064287,0.804340,0.998393,0.890543
SXGA,sequence_3,train\SXGA\sequence_3\low dyn with columns 3,0.007436,0.002214,0.006183,0.770563,0.546007,0.639135,10.925746,0.336154,0.726856,0.991596,0.784395
